objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,longitude,latitude
"1",,White Farm Plot,,,See Albee Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"2",,Kit Frink Cemetery,,,See Aldrich Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"3",,Niesh Cemetery,,,See Aldrich Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"4",,David Jackson Cemetery,,,See Barnes Cemetery,cemetery,Greene,,,,,,,,record,,,,,
"5",,McDonough Town Road Cemetery,,,See Beardsley Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"6",,Babcock Plot,,,See Beckwith Cemetery,cemetery,Pharsalia,,,,,,,,record,,,,,
"7",,Sipple Farm Cemetery,,,See Bixby Cemetery,cemetery,Bainbridge,,,,,,,,record,,,,,
"8",,Nevins Farm Plot,,,See Blackman Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"9",,East Afton Cemetery,,,See Broad Cemetery,cemetery,Afton,,,,,,,,record,,,,,
"10",,Brooks Cemetery,,,See Brooksbank Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"11",,East Cemetery,,,See Brown Cemetery,cemetery,Plymouth,,,,,,,,record,,,,,
"12",,Clark Cemetery,,,See Campbell Cemetery,cemetery,Columbus,,,,,,,,record,,,,,
"13",,Gross Farm Plot,,,See Chapel Cemetery,cemetery,Greene,,,,,,,,record,,,,,
"14",,Lambs Cemetery,,,See Columbus Corners Cemetery,cemetery,Columbus,,,,,,,,record,,,,,
"15",,Shumway Hill Cemetery,,,See Cornell Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"16",,Union Cemetery,,,See Coventry Cemetery,cemetery,Coventry,,,,,,,,record,,,,,
"17",,Dingman Farm Plot,,,See Davis Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"18",,Slater Cemetery,,,See Donnelly Cemetery,cemetery,Plymouth,,,,,,,,record,,,,,
"19",,Baptist Church Cemetery,,,See East End Cemetery,cemetery,Smyrna,,,,,,,,record,,,,,
"20",,Downey Farm Plot,,,See Eccleston Cemetery,cemetery,Preston,,,,,,,,record,,,,,
"21",,Fanning Cemetery,,,See Eccleston Cemetery,cemetery,Preston,,,,,,,,record,,,,,
"22",,Brooks Cemetery,,,See Edmonds Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"23",,Lewis Cemetery,,,See Edmonds Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"24",,Bolster-Edwards Cemetery,,,See Edwards Cemetery,cemetery,Pitcher,,,,,,,,record,,,,,
"25",,Lower Page Brook Cemetery,,,See Elliott Cemetery,cemetery,Greene,,,,,,,,record,,,,,
"26",,White Store Cemetery,,,See Evergreen Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"27",,Sawmill Road Burial Ground,,,See Finch Burial Ground,cemetery,Pitcher,,,,,,,,record,,,,,
"28",,Trestle Cemetery,,,See Foote Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"29",,Harris Cemetery,,,See Foster Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"30",,Barber Farm Cemetery,,,See Giles Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"31",,Village Cemetery,,,See Greenwood Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"32",,Barnes Farm Plot,,,See Gregory Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"33",,Nineveh Cemetery,,,See Guy/Reed Cemetery,cemetery,Afton,,,,,,,,record,,,,,
"34",,South Oxford Cemetery,,,See Hackett Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"35",,Wilcox Farm Plot,,,See Hackett Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"36",,Knapp Cemetery,,,See Harris Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"37",,Blackmans Cemetery,,,See Headys Corners Cemetery,cemetery,Plymouth,,,,,,,,record,,,,,
"38",,Ives Farm Plot,,,See Hendrick Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"39",,Chandlers Corners Cemetery,,,See Hinman Cemetery,cemetery,Pitcher,,,,,,,,record,,,,,
"40",,Elliott Farm Plot,,,See Houghton Cemetery,cemetery,Greene,,,,,,,,record,,,,,
"41",,Crary Cemetery,,,See Huntley Cemetery,cemetery,Columbus,,,,,,,,record,,,,,
"42",,Neidlinger Farm Plot,,,See Jaquin Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"43",,Stockwell Cemetery,,,See Jaquin Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"44",,Fosgate Farm Plot,,,See Kenyon Cemetery,cemetery,Pitcher,,,,,,,,record,,,,,
"45",,Buell Cemetery,,,See King Settlement Cemetery,cemetery,North Norwich,,,,,,,,record,,,,,
"46",,Follett Cemetery,,,See King Settlement Cemetery,cemetery,North Norwich,,,,,,,,record,,,,,
"47",,Gorham Cemetery,,,See King Settlement Cemetery,cemetery,North Norwich,,,,,,,,record,,,,,
"48",,Gregory Cemetery,,,See King Settlement Cemetery,cemetery,North Norwich,,,,,,,,record,,,,,
"49",,King I Cemetery,,,See King Settlement Cemetery,cemetery,North Norwich,,,,,,,,record,,,,,
"50",,King II Cemetery,,,See King Settlement Cemetery,cemetery,North Norwich,,,,,,,,record,,,,,
"51",,Railroad Cemetery,,,See Kirby Cemetery,cemetery,Bainbridge,,,,,,,,record,,,,,
"52",,Gregory Farm Plot,,,See Lamphere Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"53",,Lane Hill Cemetery,,,See Lane Cemetery,cemetery,Lincklaen,,,,,,,,record,,,,,
"54",,Welch Farm Cemetery,,,See Lloyd Cemetery,cemetery,Columbus,,,,,,,,record,,,,,
"55",,Maple Grove Cemetery,,,See Lower Smithville Flats Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"56",,Mount Upton Cemetery,,,See Maplewood Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"57",,Petley Cemetery,,,See Maplewood Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"58",,Randall-Miles Farm Plot,,,See McNitt Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"59",,Hull Cemetery,,,See Mead Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"60",,Little Falls Cemetery,,,See Mead Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"61",,West Cemetery,,,See Medbury Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"62",,Griffin Cemetery,,,See Medbury-Arnold Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"63",,Wright Farm Plot,,,See Merrick Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"64",,Church Cemetery,,,See Millbrook Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"65",,Robinson Farm Plot,,,See Moore Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"66",,Petley Farm Plot,,,See Morgan Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"67",,Rockdale Cemetery,,,See Morgan Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"68",,Perkins Farm Cemetery,,,See Nichols Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"69",,Old Greene Burial Ground,,,See North Canal Street Cemetery,cemetery,Greene,,,,,,,,record,,,,,
"70",,Barnes Cemetery,,,See North Pharsalia Cemetery,cemetery,Pharsalia,,,,,,,,record,,,,,
"71",,Kirk Cemetery,,,See North Pharsalia Cemetery,cemetery,Pharsalia,,,,,,,,record,,,,,
"72",,Chapel Cemetery,,,See Old Chapel Cemetery,cemetery,Coventry,,,,,,,,record,,,,,
"73",,Shapley Farm Plot,,,See Padget Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"74",,Palmer's Corners Cemetery,,,See Palmer Cemetery,cemetery,Sherburne,,,,,,,,record,,,,,
"75",,Prince Farm Cemetery,,,See Parks Cemetery,cemetery,Bainbridge,,,,,,,,record,,,,,
"76",,Burr-Hoag Cemetery,,,See Phetterplace Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"77",,Hoag Cemetery,,,See Phetterplace Cemetery,cemetery,Norwich,,,,,,,,record,,,,,
"78",,Beatty Farm Plot,,,See Phillips Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"79",,Kales Hill Cemetery,,,See Pike-Hawkins Cemetery,cemetery,Coventry,,,,,,,,record,,,,,
"80",,Close Farm Cemetery,,,See Reynolds Cemetery,cemetery,Smyrna,,,,,,,,record,,,,,
"81",,Hawley Cemetery,,,See Reynolds Cemetery,cemetery,Smyrna,,,,,,,,record,,,,,
"82",,Hitesite Cemetery,,,See Reynolds Cemetery,cemetery,Smyrna,,,,,,,,record,,,,,
"83",,Amblerville Farm Plot,,,See Rich-Sage Cemetery,cemetery,New Berlin,,,,,,,,record,,,,,
"84",,Plasterville Cemetery,,,See Riverside Rural Cemetery,cemetery,North Norwich,,,,,,,,record,,,,,
"85",,Pleasant View Cemetery,,,See Riverview Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"86",,Mason-Packer Cemetery,,,See Samuel E. Lewis Cemetery,cemetery,Preston,,,,,,,,record,,,,,
"87",,German Hollow Cemetery,,,See Seymour Cemetery,cemetery,Plymouth,,,,,,,,record,,,,,
"88",,Willoughby Farm Plot,,,See Shapley Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"89",,Gould Cemetery,,,See Smith Cemetery,cemetery,Preston,,,,,,,,record,,,,,
"90",,South Hill Cemetery,,,See Smith Cemetery,cemetery,Guilford,,,,,,,,record,,,,,
"91",,Wakeman Cemetery,,,See Stevens Cemetery,cemetery,Afton,,,,,,,,record,,,,,
"92",,Adams Farm Cemetery,,,See Stewart's Corners Cemetery,cemetery,Plymouth,,,,,,,,record,,,,,
"93",,Warn-Ten Broeck Cemetery,,,See Ten Broeck Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"94",,Cook Farm Plot,,,See Terwilliger Cemetery,cemetery,Greene,,,,,,,,record,,,,,
"95",,Hamilton Farm Plot,,,See Tillotson Cemetery,cemetery,McDonough,,,,,,,,record,,,,,
"96",,Fairchild Cemetery,,,See Towsley-Fairchild Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"97",,Moore Cemetery,,,See Towsley-Moore Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"98",,Pond Cemetery,,,See Towsley-Pond Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"99",,Keech Cemetery,,,See Turner Cemetery,cemetery,Preston,,,,,,,,record,,,,,
"100",,Butler Cemetery,,,See Twitchell Cemetery,cemetery,McDonough,,,,,,,,record,,,,,
"101",,Ingersoll-Rand Cemetery,,,See Union Valley Cemetery,cemetery,Bainbridge,,,,,,,,record,,,,,
"102",,Neidlinger Farm Burial Ground,,,See Union Valley Cemetery,cemetery,Bainbridge,,,,,,,,record,,,,,
"103",,Smithville Flats Cemetery,,,See Upper Smithville Flats Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"104",,State Street Cemetery,,,See Village Cemetery,cemetery,Oxford,,,,,,,,record,,,,,
"105",,Sherburne Four Corners Cemetery,,,See Volmer's Farm Cemetery,cemetery,Sherburne,,,,,,,,record,,,,,
"106",,Preston Corners Cemetery,,,See Wait Cemetery,cemetery,Preston,,,,,,,,record,,,,,
"107",,Skillman Cemetery,,,See Waldron Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"108",,Carter Farm Plot,,,See Watson Cemetery,cemetery,Greene,,,,,,,,record,,,,,
"109",,Four Corners Cemetery,,,See Westview Cemetery,cemetery,German,,,,,,,,record,,,,,
"110",,Ring Farm Plot,,,See Widger Cemetery,cemetery,Preston,,,,,,,,record,,,,,
"111",,Willcox Cemetery,,,See Wilcok Cemetery,cemetery,Smyrna,,,,,,,,record,,,,,
"112",,Upper Tyner Cemetery,,,See Willcox Cemetery,cemetery,Smithville,,,,,,,,record,,,,,
"113",,Albee Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.33111111,42.64611111
"114",,Aldrich Cemetery,,,,cemetery,Norwich,,,,,,,,record,,,,-75.45055556,42.56083333
"115",,Arnold Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.35611111,42.6125
"116",,Ashcraft Cemetery,,,,cemetery,German,,,,,,,,record,,,,-75.81527778,42.47916667
"117",,Aylesworth Cemetery,,,,cemetery,New Berlin,,,,,,,,record,,,,-75.44277778,42.62333333
"118",,Baptist Church Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.47805556,42.29388889
"120",,Beardsley Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.64222222,42.45388889
"121",,Beardsley Family Plot,,,,cemetery,McDonough,,,,,,,,record,,,,,
"122",,Beardsley Farm Plot,,,,cemetery,McDonough,,,,,,,,record,,,,,
"123",,Beckwith Plot,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.70361111,42.55888889
"124",,Bellinger Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.45777778,42.60138889
"125",,Benedict Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,,
"127",,Birdsall Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.80944444,42.30805556
"128",,Bixby Cemetery,,,,cemetery,Bainbridge,,,,,,,,record,,,,-75.47888889,42.28722222
"129",,Blackman Cemetery,,,,cemetery,Oxford,,,,,,,,record,,,,-75.58055556,42.45916667
"130",,Bloom Cemetery,,,,cemetery,North Norwich,,,,,,,,record,,,,-75.45777778,42.60138889
"131",,Bly Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.72833333,42.31805556
"132",,Bonney Cemetery,,,,cemetery,Smyrna,,,,,,,,record,,,,-75.45777778,42.60138889
"133",,Bosworth Farm Cemetery,,,,cemetery,Pharsalia,,,,,,,,record,,,,-75.72055556,42.57833333
"134",,Brackel (Church) Cemetery,,,,cemetery,Pitcher,,,,,,,,record,,,,-75.83777778,42.55361111
"135",,Brisben Baptist Church Cemetery,,,,cemetery,Greene,,,,,,,,record,,,,-75.67972222,42.36694444
