title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"White Farm Plot","","","See Albee Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=1"
"Kit Frink Cemetery","","","See Aldrich Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=2"
"Niesh Cemetery","","","See Aldrich Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=3"
"David Jackson Cemetery","","","See Barnes Cemetery","cemetery","Greene","","","","","","","","","","/item.html?id=4"
"McDonough Town Road Cemetery","","","See Beardsley Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=5"
"Babcock Plot","","","See Beckwith Cemetery","cemetery","Pharsalia","","","","","","","","","","/item.html?id=6"
"Sipple Farm Cemetery","","","See Bixby Cemetery","cemetery","Bainbridge","","","","","","","","","","/item.html?id=7"
"Nevins Farm Plot","","","See Blackman Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=8"
"East Afton Cemetery","","","See Broad Cemetery","cemetery","Afton","","","","","","","","","","/item.html?id=9"
"Brooks Cemetery","","","See Brooksbank Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=10"
"East Cemetery","","","See Brown Cemetery","cemetery","Plymouth","","","","","","","","","","/item.html?id=11"
"Clark Cemetery","","","See Campbell Cemetery","cemetery","Columbus","","","","","","","","","","/item.html?id=12"
"Gross Farm Plot","","","See Chapel Cemetery","cemetery","Greene","","","","","","","","","","/item.html?id=13"
"Lambs Cemetery","","","See Columbus Corners Cemetery","cemetery","Columbus","","","","","","","","","","/item.html?id=14"
"Shumway Hill Cemetery","","","See Cornell Cemetery","cemetery","Guilford","","","","","","","","","","/item.html?id=15"
"Union Cemetery","","","See Coventry Cemetery","cemetery","Coventry","","","","","","","","","","/item.html?id=16"
"Dingman Farm Plot","","","See Davis Cemetery","cemetery","Smithville","","","","","","","","","","/item.html?id=17"
"Slater Cemetery","","","See Donnelly Cemetery","cemetery","Plymouth","","","","","","","","","","/item.html?id=18"
"Baptist Church Cemetery","","","See East End Cemetery","cemetery","Smyrna","","","","","","","","","","/item.html?id=19"
"Downey Farm Plot","","","See Eccleston Cemetery","cemetery","Preston","","","","","","","","","","/item.html?id=20"
"Fanning Cemetery","","","See Eccleston Cemetery","cemetery","Preston","","","","","","","","","","/item.html?id=21"
"Brooks Cemetery","","","See Edmonds Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=22"
"Lewis Cemetery","","","See Edmonds Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=23"
"Bolster-Edwards Cemetery","","","See Edwards Cemetery","cemetery","Pitcher","","","","","","","","","","/item.html?id=24"
"Lower Page Brook Cemetery","","","See Elliott Cemetery","cemetery","Greene","","","","","","","","","","/item.html?id=25"
"White Store Cemetery","","","See Evergreen Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=26"
"Sawmill Road Burial Ground","","","See Finch Burial Ground","cemetery","Pitcher","","","","","","","","","","/item.html?id=27"
"Trestle Cemetery","","","See Foote Cemetery","cemetery","Guilford","","","","","","","","","","/item.html?id=28"
"Harris Cemetery","","","See Foster Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=29"
"Barber Farm Cemetery","","","See Giles Cemetery","cemetery","Norwich","","","","","","","","","","/item.html?id=30"
"Village Cemetery","","","See Greenwood Cemetery","cemetery","New Berlin","","","","","","","","","","/item.html?id=31"
"Barnes Farm Plot","","","See Gregory Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=32"
"Nineveh Cemetery","","","See Guy/Reed Cemetery","cemetery","Afton","","","","","","","","","","/item.html?id=33"
"South Oxford Cemetery","","","See Hackett Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=34"
"Wilcox Farm Plot","","","See Hackett Cemetery","cemetery","Oxford","","","","","","","","","","/item.html?id=35"
